Filename,Center_X,Center_Y,Average_R,Average_G,Average_B
date_1-5-2024_10.0.11_1.png,331,196,253.29,203.06,235.36
date_1-5-2024_13.0.11_1.png,330,194,253.77,210.91,239.26
date_1-5-2024_15.0.11_1.png,330,193,254.09,205.29,234.95
date_1-6-2024_10.0.11_1.png,354,217,253.96,175.45,218.51
date_1-6-2024_13.0.11_1.png,354,217,253.89,228.75,253.39
date_1-6-2024_15.0.11_1.png,355,216,253.96,183.87,222.91
date_10-5-2024_10.0.11_1.png,335,201,252.28,191.79,228.91
date_10-5-2024_13.0.11_1.png,335,200,252.92,199.14,233.76
date_10-5-2024_15.0.10_1.png,335,195,254.55,209.3,243.14
date_11-5-2024_10.0.11_1.png,335,194,252.7,204.3,240.9
date_11-5-2024_13.0.10_1.png,334,197,253.97,198.88,233.2
date_11-5-2024_15.0.11_1.png,334,199,254.52,209.38,241.82
date_12-5-2024_10.0.10_1.png,334,199,253.56,188.51,229.91
date_12-5-2024_13.0.10_1.png,333,195,253.82,205.98,238.98
date_12-5-2024_15.0.11_1.png,333,199,254.32,204.04,239.8
date_13-5-2024_10.0.11_1.png,331,202,253.23,200.72,238.4
date_13-5-2024_13.0.11_1.png,344,195,254.21,205.8,238.8
date_13-5-2024_15.0.11_1.png,337,208,254.71,192.53,230.53
date_14-5-2024_10.0.11_1.png,338,207,251.15,193.13,231.45
date_14-5-2024_13.0.11_1.png,338,212,253.35,203.74,236.8
date_14-5-2024_15.0.10_1.png,337,210,254.58,210.39,244.27
date_15-5-2024_10.0.11_1.png,338,197,253.61,203.23,238.75
date_15-5-2024_13.0.10_1.png,337,196,254.29,218.78,249.62
date_15-5-2024_15.0.11_1.png,337,195,254.3,214.38,246.22
date_16-5-2024_10.0.10_1.png,336,196,253.3,205.91,242.77
date_16-5-2024_13.0.10_1.png,336,216,254.37,212.24,243.15
date_16-5-2024_15.0.11_1.png,337,197,254.63,217.64,248.92
date_17-5-2024_10.0.10_1.png,333,193,252.89,199.19,236.47
date_17-5-2024_13.0.11_1.png,337,205,253.34,224.14,252.73
date_17-5-2024_15.0.11_1.png,333,211,253.9,214.8,249.39
date_18-5-2024_10.0.10_1.png,336,194,253.65,185.06,228.1
date_18-5-2024_13.0.11_1.png,337,195,253.67,215.83,247.39
date_18-5-2024_15.0.11_1.png,336,193,254.33,160.96,211.32
date_19-5-2024_10.0.10_1.png,335,195,253.28,176.77,223.09
date_19-5-2024_13.0.11_1.png,336,189,254.15,203.47,237.17
date_19-5-2024_15.0.10_1.png,334,191,254.16,221.15,253.08
date_2-5-2024_10.0.11_1.png,332,196,253.18,207.24,238.21
date_2-5-2024_13.0.10_1.png,332,204,253.53,202.6,233.52
date_2-5-2024_15.0.10_1.png,333,198,254.08,207.65,238.65
date_2-6-2024_10.0.10_1.png,355,207,253.75,217.84,249.36
date_2-6-2024_13.0.10_1.png,354,206,253.76,194.9,231.23
date_2-6-2024_15.0.10_1.png,354,217,253.56,154.69,204.53
date_20-5-2024_10.0.10_1.png,336,204,253.64,209.34,247.13
date_20-5-2024_13.0.11_1.png,334,197,253.89,170.84,217.56
date_20-5-2024_15.0.10_1.png,335,194,251.55,152.02,201.34
date_21-5-2024_10.0.11_1.png,334,188,254.27,200.67,239.67
date_21-5-2024_13.0.10_1.png,335,195,254.66,204.61,241.29
date_21-5-2024_15.0.11_1.png,334,195,254.58,156.96,208.64
date_22-5-2024_10.0.11_1.png,333,192,253.6,177.48,222.3
date_22-5-2024_13.0.11_1.png,336,204,239.91,128.3,185.41
date_22-5-2024_15.0.11_1.png,335,197,254.01,169.91,217.15
date_23-5-2024_10.0.11_1.png,295,231,254.02,205.47,241.55
date_23-5-2024_13.0.11_1.png,337,214,254.32,215.81,247.61
date_23-5-2024_15.0.11_1.png,339,212,254.03,204.17,239.97
date_24-5-2024_10.0.10_1.png,340,215,254.01,209.46,243.46
date_24-5-2024_13.0.10_1.png,340,217,253.83,180.88,221.64
date_24-5-2024_15.0.11_1.png,341,214,254.79,221.0,252.1
date_25-5-2024_10.0.11_1.png,343,218,253.33,215.92,250.33
date_25-5-2024_13.0.10_1.png,341,189,254.45,222.79,253.57
date_25-5-2024_15.0.11_1.png,344,216,254.33,175.3,218.69
date_26-5-2024_10.0.10_1.png,346,206,253.62,214.81,250.17
date_26-5-2024_13.0.11_1.png,344,215,254.2,225.37,253.28
date_26-5-2024_15.0.11_1.png,345,215,254.27,188.21,227.05
date_27-4-2024_10.0.10_1.png,356,223,253.5,212.34,241.48
date_27-4-2024_13.0.10_1.png,353,207,253.64,194.68,227.68
date_27-4-2024_15.0.11_1.png,353,214,254.36,200.03,231.45
date_27-5-2024_10.0.10_1.png,347,215,252.8,200.79,237.91
date_27-5-2024_13.0.11_1.png,345,215,253.79,197.99,233.55
date_27-5-2024_15.0.11_1.png,346,215,254.01,191.53,229.43
date_28-4-2024_10.0.11_1.png,354,226,254.16,189.56,226.03
date_28-4-2024_13.0.10_1.png,351,196,254.08,194.83,225.73
date_28-4-2024_15.0.10_1.png,352,201,254.36,227.73,252.45
date_28-5-2024_10.0.11_1.png,345,214,253.25,215.94,250.76
date_28-5-2024_13.0.10_1.png,344,221,254.05,212.05,245.29
date_29-4-2024_10.0.10_1.png,352,223,245.95,137.51,187.47
date_29-4-2024_13.0.11_1.png,353,212,253.21,232.42,252.98
date_29-4-2024_15.0.11_1.png,353,225,253.91,216.83,245.95
date_29-5-2024_10.0.10_1.png,346,212,253.77,213.89,248.43
date_29-5-2024_13.0.10_1.png,345,217,253.9,193.17,231.05
date_29-5-2024_15.0.11_1.png,346,214,253.74,169.72,214.83
date_3-5-2024_10.0.10_1.png,333,193,253.42,198.14,231.62
date_3-5-2024_13.0.10_1.png,333,195,253.69,202.56,232.6
date_3-5-2024_15.0.10_1.png,333,195,254.45,220.3,247.02
date_3-6-2024_10.0.11_1.png,350,204,253.42,206.86,243.56
date_3-6-2024_13.0.10_1.png,352,221,253.56,216.78,250.36
date_3-6-2024_15.0.11_1.png,352,194,254.48,220.58,252.68
date_30-4-2024_10.0.10_1.png,334,195,253.49,194.44,227.52
date_30-4-2024_13.0.11_1.png,328,196,254.07,185.25,221.49
date_30-4-2024_15.0.11_1.png,329,200,254.62,210.55,239.03
date_30-5-2024_10.0.11_1.png,348,216,253.37,206.45,243.42
date_30-5-2024_13.0.11_1.png,346,217,253.33,211.27,244.35
date_30-5-2024_15.0.11_1.png,346,216,254.2,215.28,247.11
date_31-5-2024_10.0.11_1.png,355,216,252.48,191.26,232.92
date_31-5-2024_13.0.11_1.png,354,218,253.43,211.82,244.57
date_31-5-2024_15.0.11_1.png,355,218,254.39,210.2,244.08
date_4-5-2024_13.0.10_1.png,333,201,253.58,191.46,225.98
date_4-5-2024_15.0.11_1.png,334,203,251.78,150.32,193.38
date_4-6-2024_13.0.11_1.png,353,202,253.93,171.61,215.67
date_4-6-2024_15.0.11_1.png,351,196,252.44,160.17,206.13
date_5-5-2024_10.0.11_1.png,334,190,243.84,140.06,185.95
date_5-5-2024_13.0.10_1.png,333,181,253.84,164.05,205.41
date_5-5-2024_15.0.11_1.png,334,186,253.86,160.18,202.47
date_5-6-2024_10.0.10_1.png,350,216,253.28,198.81,235.91
date_5-6-2024_13.0.11_1.png,349,208,253.64,196.79,232.43
date_5-6-2024_15.0.10_1.png,349,215,253.88,197.46,233.26
date_6-5-2024_10.0.10_1.png,333,186,253.16,222.45,251.31
date_6-5-2024_13.0.11_1.png,333,190,254.5,241.28,254.11
date_6-5-2024_15.0.11_1.png,334,198,254.37,183.0,222.44
date_6-6-2024_10.0.11_1.png,350,220,253.61,198.97,236.42
date_7-5-2024_10.0.11_1.png,333,196,251.92,188.54,228.5
date_7-5-2024_13.0.11_1.png,331,194,253.14,225.68,251.83
date_7-5-2024_15.0.11_1.png,332,194,254.4,219.37,250.61
date_8-5-2024_10.0.10_1.png,331,195,251.64,187.92,228.12
date_8-5-2024_13.0.10_1.png,331,195,252.74,206.28,237.28
date_8-5-2024_15.0.10_1.png,331,197,253.98,207.81,240.05
date_9-5-2024_10.0.10_1.png,331,194,250.35,181.55,222.77
date_9-5-2024_13.0.11_1.png,332,205,252.37,201.75,234.09
date_9-5-2024_15.0.11_1.png,336,204,244.93,183.7,222.99
