Filename,Center_X,Center_Y,Average_R,Average_G,Average_B
date_1-5-2024_10.0.11_1.png,431,189,250.46,185.2,228.88
date_1-5-2024_13.0.11_1.png,430,184,252.64,203.3,236.95
date_1-5-2024_15.0.11_1.png,431,183,251.23,181.76,222.28
date_13-5-2024_13.58.39_1.png,311,194,252.28,198.71,238.07
date_13-5-2024_15.0.11_1.png,326,187,248.71,180.99,225.95
date_2-5-2024_10.0.10_1.png,433,190,251.09,180.96,224.54
date_2-5-2024_13.0.10_1.png,432,191,252.97,194.92,231.86
date_2-5-2024_15.0.11_1.png,432,189,252.7,195.11,234.67
date_30-4-2024_15.0.11_1.png,428,190,250.96,189.71,229.56
date_6-6-2024_10.0.11_1.png,332,184,248.4,189.89,232.83
date_6-6-2024_13.0.10_1.png,333,183,253.21,211.11,246.75
date_6-6-2024_15.0.11_1.png,336,192,252.72,211.92,246.7
date_9-5-2024_16.51.40_1.png,490,227,248.57,178.18,230.56
